시도,시군구,현재흡연율,고위험음주율,걷기실천율,비만율,우울감경험률,고혈압진단경험률,당뇨병진단경험률,미충족의료율,총인구,인구65세이상,고령인구비율,1인가구수,독거노인가구수,1인가구비율,독거노인비율,병의원수,종합병원수,총의사수,천명당병의원수,천명당의사수,십만명당종합병원수,건강축,인구축,접근성축,취약지수,클러스터
경기,동두천시,24.2,15.9,40.6,40.5,9.4,26.0,12.6,7.9,87063.0,21793.0,25.03,14739.0,6090.0,16.93,27.94,42,0,77,0.482,0.884,0.0,1.45,0.436,0.604,0.83,0
경기,부천시,16.8,11.5,58.0,36.6,5.8,21.4,10.0,3.8,771114.5,138688.0,17.99,103159.0,30349.0,13.38,21.88,592,6,1698,0.768,2.202,0.778,-0.151,-0.781,-0.154,-0.362,2
경기,성남시,14.3,10.9,61.2,28.4,8.0,18.5,8.4,4.8,910645.0,156021.5,17.13,134409.0,33231.0,14.76,21.3,1004,7,3236,1.103,3.554,0.769,-0.62,-0.908,-0.649,-0.726,2
경기,수원시,14.7,10.1,53.0,34.2,5.5,22.1,9.0,7.1,1189683.0,162065.0,13.62,184111.0,35882.0,15.48,22.14,910,7,2953,0.765,2.482,0.588,-0.216,-0.983,-0.123,-0.441,2
경기,시흥시,18.7,10.7,53.8,34.3,6.2,21.0,9.9,4.9,516556.5,62209.5,12.04,69466.0,13953.0,13.45,22.43,302,3,598,0.585,1.158,0.581,-0.091,-1.029,0.247,-0.291,2
경기,안산시,22.7,11.8,41.1,36.3,8.3,22.7,10.5,6.6,621304.5,90350.0,14.54,95350.0,20571.0,15.35,22.77,397,5,1230,0.639,1.98,0.805,0.635,-0.846,-0.022,-0.078,0
경기,안성시,20.1,9.4,43.6,36.0,8.6,19.6,10.8,6.1,190747.0,39385.5,20.65,32385.0,8329.0,16.98,21.15,94,2,185,0.493,0.97,1.049,0.267,-0.737,0.17,-0.1,2
경기,안양시,12.0,10.6,56.8,31.9,7.0,19.3,7.7,2.5,548068.5,93301.5,17.02,61616.0,17636.0,11.24,18.9,460,3,1237,0.839,2.257,0.547,-0.749,-1.244,-0.131,-0.708,2
경기,양주시,21.3,15.3,40.5,39.1,8.0,23.7,9.7,3.8,277336.0,48199.0,17.38,34604.0,10185.0,12.48,21.13,129,0,261,0.465,0.941,0.0,0.67,-0.918,0.608,0.12,0
경기,양평군,18.8,11.1,45.3,36.7,5.4,22.7,9.9,4.6,125379.5,37926.5,30.25,18544.0,8085.0,14.79,21.32,49,0,89,0.391,0.71,0.0,0.111,-0.191,0.707,0.209,0
경기,여주시,20.5,14.5,42.6,37.1,5.0,22.3,11.1,9.6,114180.0,29640.0,25.96,17247.0,6136.0,15.11,20.7,53,1,95,0.464,0.832,0.876,0.637,-0.51,0.284,0.137,0
경기,연천군,22.1,14.0,56.9,39.4,6.4,25.4,11.7,8.4,41006.0,13106.0,31.96,7186.0,3406.0,17.52,25.99,16,0,25,0.39,0.61,0.0,0.815,0.544,0.725,0.695,0
경기,오산시,17.5,13.4,52.8,37.9,7.2,22.8,11.4,5.1,234931.5,28208.0,12.01,38659.0,6344.0,16.46,22.49,125,2,261,0.532,1.111,0.851,0.377,-1.023,0.192,-0.151,0
경기,용인시,11.6,10.8,49.9,30.7,6.7,20.8,7.7,2.6,1075621.0,169794.5,15.79,110585.0,26890.0,10.28,15.84,628,4,1405,0.584,1.306,0.372,-0.654,-1.732,0.305,-0.694,2
경기,의왕시,14.8,9.7,45.8,33.2,5.7,20.7,9.0,7.1,155968.5,27102.5,17.38,14092.0,4377.0,9.04,16.15,72,0,82,0.462,0.526,0.0,-0.237,-1.603,0.68,-0.387,2
경기,의정부시,19.6,10.6,51.1,36.4,5.6,20.9,8.1,3.0,460218.5,84222.5,18.3,63852.0,19282.0,13.87,22.89,331,5,1044,0.719,2.268,1.086,-0.242,-0.625,-0.245,-0.371,2
경기,이천시,22.9,10.7,63.9,34.9,4.5,22.1,10.9,2.6,221514.0,38008.0,17.16,31518.0,7596.0,14.23,19.99,123,1,251,0.555,1.133,0.451,-0.112,-1.087,0.326,-0.291,2
경기,파주시,16.5,9.2,54.7,36.5,6.5,21.3,10.3,6.6,502376.0,80569.0,16.04,59018.0,15669.0,11.75,19.45,253,2,481,0.504,0.957,0.398,-0.043,-1.222,0.418,-0.282,2
경기,평택시,21.6,13.9,39.7,36.3,7.5,22.0,10.2,7.0,591875.0,79876.5,13.5,97089.0,17752.0,16.4,22.22,341,4,765,0.576,1.293,0.676,0.614,-0.979,0.194,-0.057,0
경기,포천시,23.8,16.3,44.7,41.3,5.3,24.8,12.3,2.9,141751.0,35956.5,25.37,22914.0,7997.0,16.16,22.24,68,2,195,0.48,1.376,1.411,0.867,-0.33,-0.029,0.169,0
경기,하남시,14.0,11.3,53.7,31.6,9.5,19.7,8.9,6.2,328250.5,48956.0,14.91,40621.0,9027.0,12.38,18.44,250,0,387,0.762,1.179,0.0,-0.185,-1.422,0.326,-0.427,2
경기,화성시,14.8,10.7,40.9,35.1,6.3,21.4,9.1,5.6,954058.5,101212.0,10.61,124878.0,19382.0,13.09,19.15,519,4,1282,0.544,1.344,0.419,-0.072,-1.558,0.313,-0.439,2
경남,거제시,17.9,10.8,65.1,34.5,6.5,18.8,7.7,10.0,232640.5,34885.0,15.0,32956.0,8121.0,14.17,23.28,113,3,214,0.486,0.92,1.29,-0.264,-0.751,0.09,-0.308,2
경남,거창군,13.0,14.4,29.2,30.4,5.4,22.3,8.7,3.1,59664.0,18822.5,31.55,10789.0,5362.0,18.08,28.49,32,0,60,0.536,1.006,0.0,-0.135,0.866,0.54,0.424,1
경남,고성군,18.9,14.2,45.2,35.8,5.8,18.6,9.9,9.1,48619.0,17649.5,36.3,8764.0,4840.0,18.03,27.42,21,0,34,0.432,0.699,0.0,0.254,0.977,0.676,0.636,1
경남,김해시,15.2,12.5,58.1,36.3,3.1,19.4,8.8,1.5,531220.5,77413.5,14.57,69026.0,18729.0,12.99,24.19,288,4,593,0.542,1.116,0.753,-0.638,-0.649,0.222,-0.355,2
경남,남해군,15.2,15.8,47.0,40.2,8.5,20.4,9.5,8.6,40203.5,16943.0,42.14,8152.0,5047.0,20.28,29.79,21,0,31,0.522,0.771,0.0,0.503,1.621,0.59,0.905,0
경남,밀양시,18.7,9.1,42.1,32.6,5.6,19.5,6.9,1.1,100978.0,34324.5,33.99,19153.0,9701.0,18.97,28.26,54,0,96,0.535,0.951,0.0,-0.599,0.967,0.55,0.306,1
