시도,시군구,현재흡연율,고위험음주율,걷기실천율,비만율,우울감경험률,고혈압진단경험률,당뇨병진단경험률,미충족의료율,건강취약지수
경북,김천시,17.1,12.4,47.7,33.5,6.0,17.8,9.2,1.1,-0.428
경북,문경시,21.1,15.5,44.3,38.5,3.7,24.5,12.8,5.1,0.682
경북,봉화군,22.4,11.2,38.2,39.1,1.6,21.4,8.9,3.0,-0.063
경북,상주시,19.6,9.9,30.4,38.6,1.5,24.6,8.8,1.6,-0.069
경북,성주군,16.0,11.8,52.4,30.1,4.2,21.0,8.0,6.0,-0.47
경북,안동시,20.9,13.2,32.8,33.4,4.0,19.2,8.8,3.8,-0.062
경북,영덕군,19.9,7.0,52.2,33.8,3.4,20.9,8.5,2.1,-0.627
경북,영양군,22.2,12.9,32.3,28.0,3.7,21.8,9.2,8.3,0.167
경북,영주시,23.2,13.1,36.3,38.5,6.9,19.4,10.1,4.3,0.442
경북,영천시,16.2,10.5,35.2,35.3,4.2,20.1,12.9,6.7,0.188
경북,예천군,17.8,10.3,25.9,28.7,1.1,18.4,7.4,5.4,-0.62
경북,울릉군,21.0,15.3,63.6,36.1,6.4,21.8,8.4,5.3,0.091
경북,울진군,17.3,9.4,39.7,36.5,3.6,23.0,11.3,4.8,0.058
경북,의성군,18.5,14.4,50.3,37.3,4.5,23.0,10.8,4.7,0.242
경북,청도군,17.8,10.5,52.4,33.5,7.7,22.0,9.1,5.1,-0.05
경북,청송군,17.6,13.9,29.8,37.1,3.5,21.2,11.2,3.6,0.236
경북,칠곡군,23.0,10.4,59.1,34.1,5.1,20.4,9.7,2.0,-0.261
경북,포항시,18.9,11.4,49.9,33.9,3.8,21.0,8.7,2.6,-0.372
광주,광산구,21.9,9.4,42.2,35.4,2.7,21.7,7.9,5.2,-0.205
광주,남구,12.0,4.9,76.8,29.4,2.6,17.6,8.5,1.8,-1.626
광주,동구,13.2,6.7,62.0,30.2,3.6,18.4,7.2,1.7,-1.322
광주,북구,14.4,12.5,51.7,31.1,3.2,18.3,7.3,2.3,-0.879
광주,서구,18.0,12.3,60.5,31.3,5.3,18.9,9.0,5.3,-0.419
대구,군위군,20.1,8.2,35.5,31.6,7.3,20.8,10.2,2.8,-0.04
대구,남구,21.3,12.3,41.4,34.1,6.2,20.7,9.4,3.9,0.103
대구,달서구,19.1,11.9,49.5,34.0,7.5,18.6,9.6,10.8,0.221
대구,달성군,13.7,10.7,37.1,32.8,3.1,17.2,7.3,3.7,-0.772
대구,동구,16.9,11.2,55.6,34.1,8.1,18.9,8.3,4.4,-0.291
대구,북구,16.5,10.2,53.9,33.7,6.9,19.5,8.9,3.3,-0.392
대구,서구,19.8,10.6,50.1,36.0,3.7,21.3,10.8,4.0,-0.081
대구,수성구,12.4,9.6,57.0,25.5,4.0,19.5,6.8,0.5,-1.308
대구,중구,15.0,10.9,58.2,30.2,7.0,17.8,9.6,4.6,-0.526
대전,대덕구,21.0,12.4,65.7,37.5,6.4,20.6,11.0,1.8,-0.034
대전,동구,25.2,9.4,47.5,32.0,5.2,24.9,11.7,1.5,0.205
대전,서구,16.5,7.2,62.8,27.1,5.6,20.9,9.7,4.7,-0.697
대전,유성구,14.5,8.3,52.2,29.2,5.9,16.7,6.7,3.4,-1.027
대전,중구,17.6,14.3,44.2,29.7,9.6,19.4,8.8,14.6,0.49
부산,강서구,15.1,11.1,49.7,32.1,3.1,18.7,9.8,2.8,-0.634
부산,금정구,14.1,8.4,64.7,31.1,5.6,18.9,7.9,1.5,-1.022
부산,기장군,13.6,10.3,49.2,31.2,3.9,20.1,10.5,8.5,-0.31
부산,남구,15.5,14.5,64.6,28.7,3.0,18.7,8.5,3.0,-0.829
부산,동구,22.5,13.0,60.4,35.0,5.5,19.2,11.1,2.2,-0.068
부산,동래구,13.4,11.4,43.2,32.1,5.7,16.9,9.4,5.0,-0.467
부산,부산진구,14.2,12.0,57.4,34.6,4.7,17.2,9.6,2.8,-0.628
부산,북구,12.2,12.1,49.7,34.8,5.1,19.3,11.2,8.6,-0.088
부산,사상구,19.2,12.5,53.6,36.9,6.0,20.7,11.3,3.9,0.119
부산,사하구,17.6,11.0,56.0,35.5,4.8,21.3,9.4,4.0,-0.261
부산,서구,17.5,12.2,54.6,36.2,5.0,22.2,8.4,6.7,-0.075
부산,수영구,12.4,11.3,62.1,31.6,6.1,17.5,7.6,3.1,-0.901
부산,연제구,12.6,11.0,52.4,31.5,8.5,20.9,11.1,4.7,-0.137
부산,영도구,19.7,12.7,50.2,36.3,6.1,20.3,10.2,5.9,0.157
부산,중구,22.8,10.0,56.4,29.9,1.6,23.0,12.0,2.9,-0.247
부산,해운대구,11.9,9.1,59.4,33.7,7.7,19.4,10.2,4.2,-0.477
서울,강남구,9.4,6.5,64.5,21.7,7.4,18.5,6.7,3.5,-1.451
서울,강동구,13.3,10.3,71.5,31.3,6.3,20.2,6.4,3.8,-0.94
서울,강북구,23.6,14.7,53.4,35.5,4.9,24.4,11.5,5.7,0.547
서울,강서구,14.9,10.8,71.2,27.8,7.9,19.6,8.9,3.2,-0.718
서울,관악구,16.5,11.5,68.8,33.0,9.6,23.4,9.3,6.0,-0.001
서울,광진구,14.5,11.3,73.2,32.0,6.3,19.6,7.4,2.7,-0.853
서울,구로구,17.9,10.2,63.6,32.1,7.8,21.5,8.8,5.5,-0.246
서울,금천구,16.2,11.7,55.1,34.4,8.2,23.9,12.7,5.3,0.359
서울,노원구,13.3,7.2,69.6,30.5,6.9,21.6,8.4,3.2,-0.842
서울,도봉구,14.0,12.4,70.0,36.3,6.4,22.8,9.2,5.5,-0.232
서울,동대문구,16.4,11.0,69.2,29.6,6.5,21.2,8.0,2.3,-0.702
서울,동작구,10.5,12.5,70.4,28.1,9.4,18.6,6.9,7.5,-0.7
서울,마포구,14.5,11.4,67.3,27.6,9.3,21.9,8.9,7.5,-0.272
서울,서대문구,19.5,10.3,63.8,28.8,7.1,19.8,9.2,11.4,-0.111
서울,서초구,10.8,6.8,72.6,23.8,4.8,18.6,7.2,3.4,-1.541
서울,성동구,13.6,7.4,72.7,29.8,5.6,23.3,9.8,2.9,-0.779
서울,성북구,16.8,8.7,64.6,31.0,5.1,19.3,8.8,1.9,-0.837
서울,송파구,13.5,10.7,74.8,30.1,8.9,17.9,7.9,5.7,-0.732
서울,양천구,14.1,9.1,72.5,34.9,6.0,22.6,8.8,4.1,-0.571
서울,영등포구,13.0,8.7,72.0,30.0,7.4,20.6,8.2,5.1,-0.775
서울,용산구,15.1,5.5,73.7,23.0,2.6,19.8,8.3,0.8,-1.59
서울,은평구,17.9,14.0,64.4,35.7,4.9,20.9,9.1,5.3,-0.183
서울,종로구,14.4,10.6,70.5,28.6,9.1,15.0,6.1,10.1,-0.773
서울,중구,16.7,10.4,66.8,26.9,3.6,18.8,8.7,1.2,-1.066
서울,중랑구,20.4,9.7,77.7,34.2,6.2,24.2,9.7,2.5,-0.306
세종,세종시,12.4,7.0,53.5,29.4,5.5,19.2,6.4,4.7,-1.034
울산,남구,20.1,10.6,53.3,36.4,6.3,20.8,8.2,7.6,0.005
울산,동구,19.3,16.2,46.9,37.7,6.8,17.5,9.2,13.0,0.522
울산,북구,15.8,14.5,49.3,39.6,4.3,18.0,8.6,6.6,-0.12
울산,울주군,18.7,13.1,59.5,40.5,8.8,22.6,10.0,7.1,0.48
울산,중구,18.4,14.2,42.1,37.6,7.3,19.8,8.4,7.6,0.29
인천,강화군,23.9,19.3,41.1,43.7,2.3,23.8,11.8,3.5,0.861
인천,계양구,18.4,14.3,62.0,35.8,3.3,22.4,10.0,5.0,-0.092
인천,남동구,15.4,13.4,57.2,33.6,4.8,19.7,8.3,4.7,-0.435
인천,동구,20.0,11.4,53.8,38.1,6.0,22.9,10.6,3.5,0.168
인천,미추홀구,21.8,11.6,55.8,39.9,7.3,26.2,12.9,15.8,1.253
인천,부평구,17.9,12.6,56.3,38.3,5.6,22.7,9.3,9.4,0.253
인천,서구,17.9,11.1,54.2,35.9,9.7,19.3,9.6,7.3,0.161
인천,연수구,12.4,8.2,53.2,29.2,5.7,22.6,10.3,3.3,-0.561
인천,옹진군,22.5,17.1,49.2,34.1,5.2,24.5,12.9,10.7,0.979
인천,중구,15.8,10.9,56.2,38.5,7.0,22.3,9.8,6.1,0.068
전남,강진군,21.1,13.9,31.7,38.1,4.2,22.8,12.8,3.3,0.605
전남,고흥군,17.7,11.9,45.6,32.8,2.5,21.7,9.5,6.7,-0.176
전남,곡성군,16.2,12.1,39.7,35.7,2.5,19.1,10.6,11.1,0.083
전남,광양시,19.0,12.1,37.1,40.9,6.2,19.4,8.6,5.2,0.186
